"head","relation","tail"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_amnestic_disorder"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_abnormal_degeneration"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_neurodegenerative_disease"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_poisoning"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_poisoning_by_parasympathomimetic_drug"
"drug_acetylcholinesterase","ADVERSE_EFFECT","disease_cholinergic_crisis"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_acetylcholinesterase_inhibitors"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_antibodies"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_antioxidants"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_cholinesterase_inhibitors"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_cholinesterases"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_enzymes"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_ester"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_insecticides"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_organophosphate_insecticide"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_ion"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_neurotransmitters"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_organophosphorus_compound"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_oxime"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_pesticides"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_phosphoric_acid_esters"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_toxin"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_trypsin"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_phosphatidylinositol_diacylglycerol_lyase"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_agonists"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_cholinergic_system"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_butyrylcholinesterase"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_nerve_agents"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_eserine"
"drug_acetylcholinesterase","INTERACTS_WITH","drug_phosphoric_ester"
"drug_acetylcholinesterase_inhibitors","ADVERSE_EFFECT","disease_alzheimer_disease"
"drug_acetylcholinesterase_inhibitors","ADVERSE_EFFECT","disease_epilepsy"
"drug_acetylcholinesterase_inhibitors","ADVERSE_EFFECT","disease_cholinergic_crisis"
"drug_acetylcholinesterase_inhibitors","INTERACTS_WITH","drug_acetylcholinesterase"
"drug_acetylcholinesterase_inhibitors","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_acetylcholinesterase_inhibitors","INTERACTS_WITH","drug_enzymes"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_ribonucleic_acid"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_messenger_rna"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_rna_i"
"drug_adenosine_deaminase","ADVERSE_EFFECT","disease_immunodeficiency_disease"
"drug_adenosine_deaminase","ADVERSE_EFFECT","disease_lymphopenia"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_enzymes"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_nucleoside"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_nucleotide"
"drug_adenosine_deaminase","INTERACTS_WITH","drug_purines"
"drug_sodium_potassium_exchanging_atpase","ADVERSE_EFFECT","disease_hypertensive_disorder"
"drug_sodium_potassium_exchanging_atpase","ADVERSE_EFFECT","disease_subarachnoid_hemorrhage"
"drug_sodium_potassium_exchanging_atpase","ADVERSE_EFFECT","disease_functional_disorder"
"drug_sodium_potassium_exchanging_atpase","ADVERSE_EFFECT","disease_contraction_finding"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_adenosine_triphosphatases"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_ca_2_mg_2_atpase"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_cardiac_glycosides"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_electrolytes"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_enzymes"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_ion"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_lithium_hydride"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_mineralocorticoid"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_protein_kinase_c"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_steroid"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_toxin"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_proto_oncogene_proteins_pp60_c_src"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_reactive_oxygen_species"
"drug_sodium_potassium_exchanging_atpase","INTERACTS_WITH","drug_atp8a2_protein_human"
"drug_adenylyl_cyclases","ADVERSE_EFFECT","disease_diarrheal_disease"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_adrenergic_beta_agonists"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_antidepressive_agents"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_biogenic_amines"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_calcitonin"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_cyclic_amp_dependent_protein_kinases"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_enzymes"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_hormone"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_pth_protein_human"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_pertussis_toxin"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_ion"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_lithium_hydride"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_nucleotide"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_cyclic_nucleotide"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_phospholipases"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_phosphotransferases"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_protein_kinase_c"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_protein_kinases"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_toxin"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_gtp_binding_proteins"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_gtp_binding_protein_alpha_subunits_gs"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_opioids"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_agonists"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_mitogen_activated_protein_kinases"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_atp8a2_protein_human"
"drug_adenylyl_cyclases","INTERACTS_WITH","drug_second_messenger"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_abscess"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_arthritic_joint_disease"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_rheumatoid_arthritis"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_autoimmune_disease"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_graves_disease"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_allergic_disease"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_type_iv_hypersensitivity_disease"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_chronic_inflammation"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_neoplasm"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_syndromic_disease"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_monoarthritis"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_polyarticular_arthritis"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_infiltration"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_adverse_reactions"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_poisoning"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_adverse_effects"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_inflammatory_response"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_tumor_immunity"
"drug_immunological_adjuvant","ADVERSE_EFFECT","disease_autoinflammatory_syndrome"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_analgesic"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_local_anaesthetic"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_antibiotics"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_antibodies"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_antigens"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_biological_response_modifiers"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_choleragenoid"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_complement_system_proteins"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_pertussis_toxin"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_immunoglobulins"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_influenza_virus_vaccine"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_interleukin_1beta"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_interleukin_2"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_lipopolysaccharide"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_pertussis_vaccine"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_plasmids"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_polyinosinic_polycytidylic_acid_high_mw"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_polysaccharide"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_saponin"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_toxin"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_monophosphoryl_lipid_a"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_cytokines"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_granulocyte_macrophage_colony_stimulating_factor"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_edodekin_alfa"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_chitosan"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_agonists"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_interleukin_15"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_vaccines_dna"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_dimethyldioctadecylammonium_bromide"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_cpg_odn"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_therapeutic_corynebacterium_parvum"
"drug_immunological_adjuvant","INTERACTS_WITH","drug_immunomodulators"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_adrenocortical_insufficiency"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_asthma"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_mental_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_bone_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_cleft_palate"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_complication"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_cushing_syndrome"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_abnormal_degeneration"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_depressive_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_dermatitis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_contact_dermatitis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_diabetes"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_diabetes_mellitus"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_familial_avascular_necrosis_of_femoral_head"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_glaucoma"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_hyperglycemia"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_hyperlipidemia"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_allergic_disease"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_ige_responsiveness_atopic"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_hypertensive_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_lipodystrophy"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_lipomatosis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_spastic_diplegia"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_lymphopenia"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_muscular_atrophy"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_myopathy"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_fungal_infectious_disease"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_necrosis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_nephrotic_syndrome"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_obesity_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_ocular_hypertension"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_osteoarthritis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_osteonecrosis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_osteoporosis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_pancreatitis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_peptic_ulcer_disease"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_pneumonia"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_pneumocystosis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_psychotic_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_adult_acute_respiratory_distress_syndrome"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_syndromic_disease"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_telangiectasis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_tumor_lysis_syndrome"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_ulcer_disease"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_uveitis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_cataract"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_skin_atrophy"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_allergic_contact_dermatitis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_hypopigmentation_of_the_skin"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_traumatic_injury"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_avascular_necrosis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_hepatotoxicity"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_iatrogenic_cushing_s_disease"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_secondary_adrenal_insufficiency"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_functional_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_poisoning"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_atrophic"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_optn_related_open_angle_glaucoma"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_avascular_necrosis_of_femoral_head_primary_1"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_mood_disorder"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_adverse_reactions"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_disorder_of_intraocular_pressure"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_early_onset_posterior_polar_cataract"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_adverse_event"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_cardiomyopathy"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_adverse_effects"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_abdominal_obesity_metabolic_syndrome"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_morphologically_altered_structure"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_scleroderma_renal_crisis"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_decreased_immunologic_activity_pe"
"drug_adrenal_cortex_hormones","ADVERSE_EFFECT","disease_voice_disorders"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_sodium_potassium_exchanging_atpase"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_androgen"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_anti_inflammatory_agents"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_anti_inflammatory_agents_non_steroidal"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_antibiotics"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_antibodies"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_blood_glucose"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_bronchodilator_agents"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_carbohydrate"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_electrolytes"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_enzymes"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_estrogen"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_glucocorticoid"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_gonadotropins"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_hormone"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_immunosuppressive_agents"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_interleukin_1beta"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_interleukin_6"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_leukotriene"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_lipids"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_lipopolysaccharide"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_mineralocorticoid"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_steroid"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_cytokines"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_interleukin_8"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_agonists"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_chemokines"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_anti_allergic_agents"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_infliximab"
"drug_adrenal_cortex_hormones","INTERACTS_WITH","drug_omalizumab"
"drug_adrenergic_alpha_agonists","ADVERSE_EFFECT","disease_contraction_finding"
"drug_adrenergic_alpha_agonists","INTERACTS_WITH","drug_agonists"
"drug_adrenergic_alpha_antagonists","ADVERSE_EFFECT","disease_priapism"
"drug_adrenergic_alpha_antagonists","INTERACTS_WITH","drug_lipids"
"drug_adrenergic_beta_agonists","ADVERSE_EFFECT","disease_cardiac_rhythm_disease"
"drug_adrenergic_beta_agonists","ADVERSE_EFFECT","disease_cardiac_hypertrophy"
"drug_adrenergic_beta_agonists","INTERACTS_WITH","drug_adenylyl_cyclases"
"drug_adrenergic_beta_agonists","INTERACTS_WITH","drug_agonists"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_asthma"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_atrial_fibrillation"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_bronchial_disorder"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_coronary_vasospasm"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_depressive_disorder"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_heart_failure"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_hypertensive_disorder"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_hypoglycemia"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_poisoning"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_psoriasis"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_capillary_hemangioma"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_erectile_dysfunction"
"drug_adrenergic_beta_antagonists","ADVERSE_EFFECT","disease_adverse_effects"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_angiotensin_converting_enzyme_inhibitors"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_anti_arrhythmia_agents"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_antihypertensive_agents"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_antioxidants"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_calcium_channel_blockers"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_diuretics"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_pharmaceutical_preparations"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_lipids"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_sympathomimetics"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_agonists"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_blood_lipid"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_neurohormones"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_nos3_protein_human"
"drug_adrenergic_beta_antagonists","INTERACTS_WITH","drug_hydrochloride"
"drug_adrenergic_agonists","ADVERSE_EFFECT","disease_contraction_finding"
"drug_adrenergic_agonists","INTERACTS_WITH","drug_adrenergic_antagonists"
"drug_aeroallergen","ADVERSE_EFFECT","disease_asthma"
"drug_aeroallergen","ADVERSE_EFFECT","disease_conjunctivitis"
"drug_aeroallergen","ADVERSE_EFFECT","disease_atopic_eczema"
